Airline Code,Flight Number,Flight Status,Aircraft Code,Aircraft Name,Duration Minutes,Departure Airport Code,Departure Airport,Departure City,Departure Terminal,Departure Time,Estimated Departure,Arrival Airport Code,Arrival Airport,Arrival City,Arrival Terminal,Arrival Time,Estimated Arrival,Booking Classes,Captured URL,Captured At
VN,384,arrived,359,AIRBUS A350-900,300.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T08:01:00,2026-05-10T08:05:00,HND,TOKYO INTL HANEDA,TOKYO,3,2026-05-10T14:50:00,2026-05-10T15:05:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=384&departureDate=2026-05-10,
VN,385,arrived,359,AIRBUS A350-900,330.0,HND,TOKYO INTL HANEDA,TOKYO,3,2026-05-10T16:25:00,2026-05-10T16:35:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T20:13:00,2026-05-10T20:05:00,"J, C, D, I, O, W, Z, U, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=385&departureDate=2026-05-10,
VN,402,arrived,321,AIRBUS A321,320.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T09:22:00,2026-05-10T09:05:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T16:37:00,2026-05-10T16:25:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=402&departureDate=2026-05-10,
VN,403,arrived,321,AIRBUS A321,325.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T17:46:00,2026-05-10T17:55:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T20:54:00,2026-05-10T21:20:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=403&departureDate=2026-05-10,
VN,408,arrived,787,787  ALL SERIES PASSENGER,295.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-11T00:32:00,2026-05-10T23:45:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-11T07:25:00,2026-05-11T06:40:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=408&departureDate=2026-05-10,
VN,409,arrived,787,787  ALL SERIES PASSENGER,310.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T10:32:00,2026-05-10T10:35:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T13:38:00,2026-05-10T13:45:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=409&departureDate=2026-05-10,
VN,414,arrived,359,AIRBUS A350-900,255.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T10:17:00,2026-05-10T10:20:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T16:25:00,2026-05-10T16:35:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=414&departureDate=2026-05-10,
VN,415,arrived,359,AIRBUS A350-900,270.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T17:54:00,2026-05-10T18:05:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T20:31:00,2026-05-10T20:35:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=415&departureDate=2026-05-10,
VN,416,arrived,787,787  ALL SERIES PASSENGER,255.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T23:31:00,2026-05-10T23:35:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-11T05:21:00,2026-05-11T05:50:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=416&departureDate=2026-05-10,
VN,417,arrived,787,787  ALL SERIES PASSENGER,270.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T10:02:00,2026-05-10T10:05:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T12:37:00,2026-05-10T12:35:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=417&departureDate=2026-05-10,
